"departamento","c_digo_divipola_departamento","municipio","c_digo_divipola_municipio","programa","a_o_de_asignaci_n","estado_de_postulaci_n","hogares","valor_asignado"
"BOYACÁ","15","TUNJA","15001","Semillero de Propietarios Arriendo","2021","Asignados","3","39397476"
"CESAR","20","VALLEDUPAR","20001","Ahorro Programado Contractual","2012","Asignados","1","11783200"
"ATLÁNTICO","8","SABANALARGA","8638","Casa Digna Vida Digna","2024","Asignados","8","124800000"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2019","Asignados","19","356089880"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","MI CASA YA","2018","Asignados","8","148435980"
"SANTANDER","68","SAN GIL","68679","MI CASA YA","2024","Asignados","6","208000000"
"ANTIOQUIA","5","MEDELLÍN","5001","Programa Vivienda Gratuita Fase I","2016","Asignados","3","69733250"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2018","Asignados","12","257809860"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2017","Asignados","2","36885850"
"CESAR","20","RÍO DE ORO","20614","Bolsa Esfuerzo Territorial","2003","Asignados","42","298200000"
"SANTANDER","68","BARBOSA","68077","MI CASA YA","2018","Asignados","2","39062100"
"ANTIOQUIA","5","SABANETA","5631","MI CASA YA","2022","Asignados","2","50000000"
"SANTANDER","68","BUCARAMANGA","68001","Semillero de Propietarios Arriendo","2022","Asignados","12","183368448"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2019","Asignados","5","91092760"
"ATLÁNTICO","8","SABANALARGA","8638","Programa Vivienda Gratuita Fase II","2018","Perdida de ejecutoriedad de asignación de SFV","1","52343214"
"RISARALDA","66","PEREIRA","66001","VIPA","2016","Renuncias al subsidio","9","186152850"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2019","Asignados","9","165623200"
"MAGDALENA","47","EL RETÉN","47268","Bolsa Desplazados","2011","Asignados","2","32136000"
"CUNDINAMARCA","25","CHÍA","25175","MI CASA YA","2022","Asignados","2","40000000"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2021","Asignados","7","127193640"
"VALLE DEL CAUCA","76","TULUÁ","76834","MI CASA YA","2022","Asignados","2","40000000"
"ATLÁNTICO","8","CAMPO DE LA CRUZ","8137","Bolsa Desplazados","2011","Asignados","1","16068000"
"RISARALDA","66","SANTA ROSA DE CABAL","66682","MI CASA YA","2016","Asignados","1","8273460"
"NARIÑO","52","PASTO","52001","MI CASA YA","2017","Asignados","2","29508680"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2019","Asignados","2","33124640"
"ATLÁNTICO","8","MALAMBO","8433","MI CASA YA","2024","Asignados","2","78000000"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","Programa Vivienda Gratuita Fase I","2017","Asignados","2","103280380"
"TOLIMA","73","IBAGUÉ","73001","Bolsa Desastres Naturales","2006","Renuncia con restitucion de subsidio","4","34272000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","VIPA","2016","Asignados","5","103418250"
"ANTIOQUIA","5","APARTADÓ","5045","MI CASA YA","2020","Asignados","1","17556060"
"ATLÁNTICO","8","BARRANQUILLA","8001","VIPA","2016","Perdida de ejecutoriedad de asignación de SFV","2","41367300"
"SANTANDER","68","PUERTO PARRA","68573","Casa Digna Vida Digna","2025","Asignados","8","87360000"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2020","Asignados","3","70224240"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2020","Asignados","4","79002270"
"QUINDÍO","63","CIRCASIA","63190","MI CASA YA","2024","Asignados","5","143000000"
"CASANARE","85","TAURAMENA","85410","Bolsa Esfuerzo Territorial","2005","Asignados","1","7505895"
"SANTANDER","68","BUCARAMANGA","68001","Semillero de Propietarios Ahorro","2021","Asignados","1","5451156"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2016","Apto con subsidio vencido","1","8273460"
"ANTIOQUIA","5","APARTADÓ","5045","MI CASA YA","2023","Asignados","6","150800000"
"ANTIOQUIA","5","TÁMESIS","5789","Programa Vivienda Gratuita Fase I","2014","Renuncias al subsidio","2","73920000"
"TOLIMA","73","PURIFICACIÓN","73585","MI CASA YA","2024","Asignados","2","52000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2016","Asignados","1","13789100"
"QUINDÍO","63","CALARCÁ","63130","MI CASA YA","2019","Asignados","1","24843480"
"CUNDINAMARCA","25","ZIPAQUIRÁ","25899","MI CASA YA","2022","Apto con subsidio vencido","1","20000000"
"ANTIOQUIA","5","SAN JOSÉ DE LA MONTAÑA","5658","MI CASA YA","2021","Asignados","1","27255780"
"ANTIOQUIA","5","BELLO","5088","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"BOYACÁ","15","SAMACÁ","15646","MI CASA YA","2021","Asignados","1","27255780"
"ANTIOQUIA","5","TURBO","5837","MI CASA YA","2016","Asignados","1","13789100"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2024","Renuncias al subsidio","1","26000000"
"CAUCA","19","SANTANDER DE QUILICHAO","19698","MI CASA YA","2020","Asignados","1","26334090"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","Bolsa Desplazados","2004","Asignados","3","13425000"
"ATLÁNTICO","8","SANTA LUCÍA","8675","Bolsa Esfuerzo Territorial","2010","Asignados","90","908294000"
"CUNDINAMARCA","25","GACHANCIPÁ","25295","Ahorro Programado Contractual","2011","Renuncia con restitucion de subsidio","1","7659080"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2016","Asignados","1","8273460"
"ANTIOQUIA","5","APARTADÓ","5045","Bolsa Saludable","2008","Apto con subsidio vencido","1","3689044.673"
"VALLE DEL CAUCA","76","CAICEDONIA","76122","Ahorro Programado Contractual","2011","Asignados","1","11783200"
"NARIÑO","52","CHACHAGÜÍ","52240","MI CASA YA","2024","Asignados","1","39000000"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2017","Asignados","1","8852604"
"BOYACÁ","15","TUNJA","15001","Bolsa unica Nacional","2009","Apto con subsidio vencido","1","9691500"
"ANTIOQUIA","5","SANTA ROSA DE OSOS","5686","MI CASA YA","2019","Asignados","1","24843480"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","Programa Vivienda Gratuita Fase I","2014","Asignados","338","14513771000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","MI CASA YA","2019","Asignados","23","554837720"
"CUNDINAMARCA","25","EL ROSAL","25260","MI CASA YA","2024","Asignados","29","754000000"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2023","Asignados","117","2726000000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","Semillero de Propietarios Arriendo","2022","Asignados","74","1030986324"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","MI CASA YA","2024","Asignados","4","117000000"
"ATLÁNTICO","8","SABANAGRANDE","8634","MI CASA YA","2022","Asignados","2","60000000"
"CUNDINAMARCA","25","FUNZA","25286","MI CASA YA","2024","Asignados","4","104000000"
"ANTIOQUIA","5","EL CARMEN DE VIBORAL","5148","MI CASA YA","2022","Asignados","2","40000000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2024","Asignados","14","429000000"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2021","Asignados","4","81767340"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2020","Asignados","4","87780300"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2016","Asignados","6","77218960"
"CALDAS","17","MANIZALES","17001","Casa Digna Vida Digna","2025","Asignados","41","299921526"
"SANTANDER","68","BUCARAMANGA","68001","Fenómeno de la Niña","2013","Apto con subsidio vencido","1","16068000"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","MI CASA YA","2021","Asignados","21","408836700"
"CESAR","20","SAN DIEGO","20750","Bolsa Desplazados","2009","Asignado con aplicación en Vivienda Gratuita","7","104349000"
"TOLIMA","73","IBAGUÉ","73001","Semillero de Propietarios Arriendo","2021","Asignados","5","62573640"
"CAQUETÁ","18","FLORENCIA","18001","Programa Vivienda Gratuita Fase I","2020","Asignados","5","236069440"
"CALDAS","17","MANIZALES","17001","Bolsa Desastres Naturales","2003","Apto con subsidio vencido","49","374164000"
"HUILA","41","PALERMO","41524","MI CASA YA","2021","Asignados","7","145364160"
"QUINDÍO","63","ARMENIA","63001","MI CASA YA","2023","Asignados","22","684400000"
"BOGOTÁ, D.C.","11","BOGOTÁ, D.C.","11001","MI CASA YA","2019","Asignados","10","198747840"
"NORTE DE SANTANDER","54","LOS PATIOS","54405","Semillero de Propietarios Arriendo","2021","Asignados","3","39710844"
"NARIÑO","52","EL PEÑOL","52254","Programa Vivienda Gratuita Fase I","2016","Asignados","42","1853255040"
"SANTANDER","68","GIRÓN","68307","MI CASA YA","2017","Asignados","1","22131510"
"ANTIOQUIA","5","RIONEGRO","5615","MI CASA YA","2018","Asignados","2","31249680"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2023","Asignados","18","417600000"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2015","Asignados","1","12887000"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2021","Apto con subsidio vencido","2","45426300"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2018","Asignados","2","31249680"
"NARIÑO","52","PASTO","52001","VIPA","2016","Renuncias al subsidio","3","62050950"
"ANTIOQUIA","5","APARTADÓ","5045","Semillero de Propietarios Ahorro","2020","Asignados","1","5266818"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","Semillero de Propietarios Arriendo","2020","Renuncias al subsidio","2","25484184"
"BOYACÁ","15","SOGAMOSO","15759","MI CASA YA","2023","Asignados","3","92800000"
"META","50","ACACÍAS","50006","MI CASA YA","2020","Asignados","6","131670450"
"RISARALDA","66","PEREIRA","66001","Fenómeno de la Niña","2017","Asignados","1","18071000"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2019","Renuncias al subsidio","2","49686960"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2021","Asignados","2","36341040"
"TOLIMA","73","IBAGUÉ","73001","Bolsa Desplazados","2010","Subsidio Revocado","1","15450000"
"BOYACÁ","15","PAIPA","15516","MI CASA YA","2025","Asignados","1","42705000"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2023","Apto con subsidio vencido","2","58000000"
"BOYACÁ","15","DUITAMA","15238","Semillero de Propietarios Arriendo","2022","Asignados","2","25830144"
"TOLIMA","73","ARMERO","73055","MI CASA YA","2021","Asignados","1","18170520"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2021","Asignados","6","136278900"
"ANTIOQUIA","5","APARTADÓ","5045","MI CASA YA","2019","Asignados","3","66249280"
"SANTANDER","68","BARRANCABERMEJA","68081","MI CASA YA","2022","Apto con subsidio vencido","1","30000000"
"TOLIMA","73","VILLARRICA","73873","Bolsa Desplazados","2007","Asignados","1","10842500"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2020","Asignados","1","26334090"
"VALLE DEL CAUCA","76","ZARZAL","76895","MI CASA YA","2023","Asignados","1","34800000"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2024","Renuncias al subsidio","1","39000000"
"ANTIOQUIA","5","CAREPA","5147","MI CASA YA","2021","Asignados","2","45426300"
"CAUCA","19","PUERTO TEJADA","19573","MI CASA YA","2021","Renuncias al subsidio","1","18170520"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2022","Asignados","7","180000000"
"CUNDINAMARCA","25","FUSAGASUGÁ","25290","MI CASA YA","2024","Asignados","2","52000000"
"VALLE DEL CAUCA","76","LA UNIÓN","76400","MI CASA YA","2023","Renuncias al subsidio","1","34800000"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2019","Asignados","4","81405380"
"LA GUAJIRA","44","FONSECA","44279","Bolsa Atentados terroristas","2004","Apto con subsidio vencido","1","7518000"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","MI CASA YA","2015","Asignados","3","38661000"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","Ahorro Programado Contractual","2012","Asignados","2","17317594"
"ANTIOQUIA","5","LA CEJA","5376","MI CASA YA","2020","Asignados","1","17556060"
"NORTE DE SANTANDER","54","SAN JOSÉ DE CÚCUTA","54001","MI CASA YA","2017","Asignados","7","85575172"
"RISARALDA","66","PEREIRA","66001","Bolsa Desplazados","2009","Renuncias al subsidio","1","8695750"
"BOYACÁ","15","GUACAMAYAS","15317","Bolsa Saludable","2010","Apto con subsidio vencido","2","7945159"
"CHOCÓ","27","TADÓ","27787","Programa Vivienda Gratuita Fase II","2020","Asignados","4","305475444"
"SANTANDER","68","BARRANCABERMEJA","68081","MI CASA YA","2019","Apto con subsidio vencido","1","16562320"
"ATLÁNTICO","8","SOLEDAD","8758","MI CASA YA","2022","Apto con subsidio vencido","2","60000000"
"RISARALDA","66","DOSQUEBRADAS","66170","MI CASA YA","2022","Asignados","2","40000000"
"META","50","VILLAVICENCIO","50001","Bolsa unica Nacional","2019","Asignados","4","47656493"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2021","Asignados","7","145364160"
"CAQUETÁ","18","FLORENCIA","18001","MI CASA YA","2019","Asignados","1","24843480"
"RISARALDA","66","PEREIRA","66001","Semillero de Propietarios Arriendo","2021","Asignados","2","26900760"
"SANTANDER","68","PIEDECUESTA","68547","VIPA","2015","Renuncias al subsidio","4","72392775"
"META","50","ACACÍAS","50006","Semillero de Propietarios Arriendo","2021","Asignados","1","8302068"
"ANTIOQUIA","5","RIONEGRO","5615","MI CASA YA","2020","Asignados","2","35112120"
"ANTIOQUIA","5","FRONTINO","5284","Programa Vivienda Gratuita Fase I","2015","Asignados","2","73920000"
"RISARALDA","66","PEREIRA","66001","MI CASA YA","2024","Asignados","3","104000000"
"ANTIOQUIA","5","SEGOVIA","5736","Bolsa Desplazados","2010","Asignado con aplicación en Vivienda Gratuita","1","15450000"
"NARIÑO","52","PASTO","52001","MI CASA YA","2023","Apto con subsidio vencido","1","34800000"
"ANTIOQUIA","5","CAUCASIA","5154","MI CASA YA","2025","Asignados","3","113880000"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2018","Asignados","1","15624840"
"CAUCA","19","PIENDAMÓ - TUNÍA","19548","Bolsa Desplazados","2006","Asignados","1","10200000"
"VALLE DEL CAUCA","76","PRADERA","76563","Bolsa Desplazados","2004","Asignado posteriormente beneficiario de Vivienda Gratuita","3","13425000"
"ANTIOQUIA","5","PUERTO BERRÍO","5579","Bolsa Desplazados","2004","Asignados","1","8950000"
"HUILA","41","SAN AGUSTÍN","41668","Bolsa Desplazados","2007","Asignados","14","151795000"
"SANTANDER","68","PIEDECUESTA","68547","Semillero de Propietarios Arriendo","2022","Asignados","2","30689280"
"ATLÁNTICO","8","SANTA LUCÍA","8675","Bolsa Esfuerzo Territorial","2010","Asignados","145","1581384250"
"ANTIOQUIA","5","BELLO","5088","Casa Digna Vida Digna","2022","Renuncias al subsidio","1","10617761"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2016","Asignados","1","8273460"
"QUINDÍO","63","CALARCÁ","63130","MI CASA YA","2024","Asignados","1","39000000"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2020","Asignados","2","52668180"
"ANTIOQUIA","5","ITAGÜÍ","5360","MI CASA YA","2016","Renuncias al subsidio","1","8273460"
"QUINDÍO","63","CALARCÁ","63130","MI CASA YA","2020","Asignados","1","26334090"
"ANTIOQUIA","5","BELLO","5088","MI CASA YA","2020","Apto con subsidio vencido","1","17556060"
"CUNDINAMARCA","25","TOCANCIPÁ","25817","Semillero de Propietarios Arriendo","2022","Asignados","1","15344640"
"VALLE DEL CAUCA","76","GUADALAJARA DE BUGA","76111","VIPA","2016","Renuncias al subsidio","1","20683650"
"CUNDINAMARCA","25","GIRARDOT","25307","MI CASA YA","2021","Asignados","1","18170520"
"ATLÁNTICO","8","MALAMBO","8433","Bolsa Ordinaria","2004","Renuncias al subsidio","1","7518000"
"VALLE DEL CAUCA","76","GUACARÍ","76318","MI CASA YA","2020","Asignados","1","17556060"
"ANTIOQUIA","5","COPACABANA","5212","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"CASANARE","85","SAN LUIS DE PALENQUE","85325","Bolsa Concejales","2010","Apto con subsidio vencido","1","11330000"
"NORTE DE SANTANDER","54","TEORAMA","54800","Bolsa Desplazados","2005","Asignados","1","4475000"
"CASANARE","85","YOPAL","85001","Bolsa Desplazados","2008","Asignados","98","866847000"
"BOLÍVAR","13","MAGANGUÉ","13430","Casa Digna Vida Digna","2024","Asignados","11","171600000"
"ATLÁNTICO","8","BARRANQUILLA","8001","MI CASA YA","2021","Asignados","100","2271315000"
"MAGDALENA","47","SANTA MARTA","47001","MI CASA YA","2017","Asignados","5","88526040"
"QUINDÍO","63","CALARCÁ","63130","MI CASA YA","2023","Asignados","3","81200000"
"MAGDALENA","47","SANTA MARTA","47001","Semillero de Propietarios Arriendo","2025","Asignados","6","44173800"
"NORTE DE SANTANDER","54","VILLA DEL ROSARIO","54874","MI CASA YA","2020","Asignados","4","96558330"
"TOLIMA","73","ESPINAL","73268","MI CASA YA","2015","Asignados","4","51548000"
"ATLÁNTICO","8","SABANALARGA","8638","MI CASA YA","2019","Asignados","4","82811600"
"META","50","VILLAVICENCIO","50001","Programa Vivienda Gratuita Fase I","2016","Asignados","1","41238400"
"BOLÍVAR","13","CARTAGENA DE INDIAS","13001","MI CASA YA","2017","Asignados","5","81148870"
"CUNDINAMARCA","25","RICAURTE","25612","MI CASA YA","2024","Asignados","1","26000000"
"ANTIOQUIA","5","MEDELLÍN","5001","MI CASA YA","2016","Asignados","2","16546920"
"BOYACÁ","15","TUNJA","15001","MI CASA YA","2019","Asignados","1","16562320"
"VICHADA","99","CUMARIBO","99773","Bolsa Desplazados","2009","Asignados","8","119256000"
"CAUCA","19","POPAYÁN","19001","MI CASA YA","2019","Asignados","5","91092760"
"CÓRDOBA","23","CERETÉ","23162","MI CASA YA","2022","Apto con subsidio vencido","1","20000000"
"CAQUETÁ","18","FLORENCIA","18001","MI CASA YA","2018","Asignados","1","15624840"
"TOLIMA","73","IBAGUÉ","73001","MI CASA YA","2018","Apto con subsidio vencido","1","23437260"
"CUNDINAMARCA","25","SOACHA","25754","MI CASA YA","2019","Asignados","3","57968120"
"BOYACÁ","15","CHIQUINQUIRÁ","15176","Semillero de Propietarios Ahorro","2020","Apto con subsidio vencido","1","5266818"
"CÓRDOBA","23","MONTERÍA","23001","MI CASA YA","2020","Asignados","2","43890150"
"CESAR","20","BECERRIL","20045","Bolsa Desplazados","2007","Subsidio Revocado","2","17391500"
"NARIÑO","52","LA LLANADA","52385","Bolsa Atentados terroristas","2005","Renuncias al subsidio","1","8011500"
"META","50","SAN MARTÍN","50689","MI CASA YA","2023","Asignados","3","81200000"
"ATLÁNTICO","8","BARANOA","8078","MI CASA YA","2018","Asignados","1","15624840"
"CALDAS","17","VILLAMARÍA","17873","VIPA","2016","Renuncias al subsidio","1","20683650"
"ANTIOQUIA","5","MEDELLÍN","5001","Casa Digna Vida Digna","2025","Asignados","3","70200000"
"VALLE DEL CAUCA","76","JAMUNDÍ","76364","Semillero de Propietarios Arriendo","2021","Asignados","1","13450380"
"CESAR","20","VALLEDUPAR","20001","MI CASA YA","2016","Apto con subsidio vencido","1","13789100"
"QUINDÍO","63","ARMENIA","63001","Semillero de Propietarios Arriendo","2020","Asignados","1","12742092"
"ANTIOQUIA","5","ENVIGADO","5266","MI CASA YA","2025","Asignados","3","113880000"
"BOYACÁ","15","PAIPA","15516","Semillero de Propietarios Ahorro","2021","Asignados","1","5451156"
"ANTIOQUIA","5","APARTADÓ","5045","Semillero de Propietarios Ahorro","2021","Asignados","1","5451156"
"BOLÍVAR","13","TURBACO","13836","MI CASA YA","2017","Asignados","1","14754340"
"CASANARE","85","TRINIDAD","85430","Bolsa Desplazados","2008","Asignados","1","14907000"
"ANTIOQUIA","5","SAN ROQUE","5670","Bolsa Desplazados","2010","Asignados","1","15450000"
"CESAR","20","VALLEDUPAR","20001","Bolsa Desplazados","2005","Asignado con aplicación en Vivienda Gratuita","3","44721000"
"META","50","VILLAVICENCIO","50001","Casa Digna Vida Digna","2022","Asignados","1","11999975"
"VALLE DEL CAUCA","76","SANTIAGO DE CALI","76001","Semillero de Propietarios Arriendo","2020","Renuncias al subsidio","1","13303909"
"LA GUAJIRA","44","DIBULLA","44090","Bolsa Atentados terroristas","2006","Asignados","1","8568000"
"BOYACÁ","15","SAMACÁ","15646","Semillero de Propietarios Ahorro","2023","Asignados","2","13920000"
"ANTIOQUIA","5","YARUMAL","5887","MI CASA YA","2021","Asignados","2","45426300"
"ANTIOQUIA","5","LA ESTRELLA","5380","MI CASA YA","2021","Asignados","1","18170520"
"META","50","VILLAVICENCIO","50001","MI CASA YA","2018","Asignados","1","15624840"
