"consecutivo","tipoacuerdo","nombrealcaldecomp","correo","municipio","cod_municipio","subregion","cod_subregion","nom_plandsllo","nom_proyecto","pladesarrolloant","compplandsllo","secretariamunicipal","fase","desc_proyecto","pobla_afectada","pobla_solucion","categoriapo","nropobla","aportegob","aportemun","aporteotr","obsevgral","fechainicio","fechafin","nombreprogramapland","nombreproducto","unidad","cantidadtotal","cantidadanio1","cantidadanio2","cantidadanio3","cantidadanio4"
"2020071806","Viabilidad","JUAN MANUEL LEMA HURTADO","alcaldia@betulia-antioquia.gov.co","Betulia","05093","Suroeste","SR08","Pasión Por Betulia 2020 - 2023","Tecnología 4.0 para la seguridad del municipio de Betulia y corregimiento de Altamira.","UNIDOS POR LA VIDA 2020 - 2023","Convivencia y seguridad","Secretaria General y de Gobierno","Fase I","El municipio de Betulia se encuentra ubicado en la sub región del suroeste antioqueño, su principal renglón de economía es el café, lo que conlleva a un aumento significativo de la población en época de cosecha cafetera, con ello se aumentan los problemas de seguridad y orden publico tanto en la cabecera municipal y área rural. Sumado a lo anterior desde años anteriores hace presencia el GAO-Clan del Golfo, y otras estructuras criminales de los cuales  se ha logrado importantes capturas de cabecillas e integrantes  de dicha estructuras con abundante material de guerra y propaganda alusivo a esta estructura criminal denominada   Autodefensas Gaitanistas Unidas de Colombia; y las disidencias residuales de la antigua guerrilla de las  FARC,  sumándole a esta la disputa por las plazas de microtráfico y de más rentas ilícitas, localizadas en el área urbana del municipio de Betulia, lo anterior ha conllevado a un   incremento significativo  en muertes violentas. Teniendo en consideración lo anterior, se plantea la necesidad de contar con herramientas necesarias que permita prestar un servicio oportuno de seguridad,  y de esta manera impactar positivamente a la población, teniendo así la posibilidad de visualizar y monitorear cada uno de los puntos en los que se presenta alteración al orden público y convivencia ciudadana; además, estas herramientas serán un apoyo para esclarecer accidentes de tránsito que ocurran en las vías del área urbana del municipio, permitiendo así una mayor diligencias de las autoridades competentes, todo esto en aras de salvaguardar la tranquilidad en el territorio Betuliano.","El municipio de Betulia cuenta con 17.456 habitantes, su principal producto de la economiza es el café, ademas del cacao, cítricos entre otros. Durante las ultimas décadas se ha incrementado el consumo de sustancias psicoactivas en el municipio debido al incremento de grupos armados organizados que se disputan entre otras cosas las diferentes plazas de vicio  las cuales a la hora de judicializar a los infractores no cuentan con el material probatorio suficiente.","Betulia cuenta con 17450 habitantes, los cuales están distribuidos en un 70% en el área rural y un 30 % en el área urbana, con un indice de necesidades  básicas insatisfechas de 52.7%. Es de anotar que el municipio de Betulia  en las ultimas décadas fue victima de grupos armados como el frente 34 de las FARC Y LAS Autodefensas Unidas de Colombia AUC, y ahora con presencia del Grupos al margen de la ley organizados.","Humana","17540","0","0","0","La Secretaría de Gobierno se compromete con el acompañamiento técnico para la estructuración y formulación del proyecto a fin de presentarlo para las jornadas de acuerdos 2021","2020-08-15T00:00:00.000","2021-04-30T00:00:00.000","Seguridad ciudadana y convivencia","Acompañamiento técnico para un centro de monitoreo municipal.","Porcentaje","100","40","60","0","0"
"2020070808","Ejecucion","DEISON ULILO ACEVEDO MENDEZ","alcaldia@vegachi-antioquia.gov.co","Vegachí","05858","Nordeste","SR04","Vegachi Un Proyecto de Todos - Hagámoslo Juntos","Mejoramiento del entorno y hábitat mediante la estrategia antioquia se pinta de vida en el municipio de vegachi, Antioquia","UNIDOS POR LA VIDA 2020 - 2023","Linea 1 Nuestra Gente - Componente 1.5 Vivienda","secretaria de planeación, obras publicas y ordenamiento territorial","Fase III","Deficientes condiciones habitacionales de la población vulnerable del municipio de vegachi. En la actualidad en el municipio de Vegachi cuenta con 13.951 habitantes, de los cuales 8912 viven en el area urbana y 2644 en el area
rural. la mayoría presenta condiciones habitacionales bajas. De Igual manera la población victima supera el 30% de la población, lo que indica que el municipio ha sido bastante golpeado por la violencia. , sin embargo, es de destacar que el municipio ha sido más receptor que expulsor ya que la mayoría de estos habitantes son provenientes de otros lugares, situación que empeora la economía del municipio; además de contar con muy pocas fuentes de empleo lo que ha llevado a que las familias tengan que vivir en unidades habitacionales 
precarias.","Un total de 560 familias que carecen de condiciones adecuadas en sus viviendas.","familias identificadas con necesidades de mejoramiento de fachada","Humana","175","20000000","3000000","0","No aplica","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","0","1","0","0"
"2020070124","Ejecucion","MIGUEL ALFONSO MARTINEZ GAVIRIA","alcaldia@caicedo-antioquia.gov.co","Caicedo","05125","Occidente","SR06","Caicedo, un campo de oportunidades","Antioquia y Caicedo comprometidos por la movilidad y seguridad ciudadana","UNIDOS POR LA VIDA 2020 - 2023","Caicedo en buenas manos","Secretaria de Gobierno","Fase III","La dimensión del territorio del municipio de Caicedo es de 220 kilómetros cuadrados con un total de 22 veredas que en su mayoría estan a más de 30 minutos de la zona urbana; estas condiciones del territorio hace que la fuerza pública tenga grandes retos para poder hacer presencia en cada una de las comunidades y un agravante que lo hace más complejo es la falta de vehículos de movilidad ya que en la actualidad la estación de policía solo cuenta con 2 motocicletas y 1 vehículo lo que genera no haya una respuesta efectiva y oportuna antes los diferentes conflictos o delitos que se presente en el municipio","8500 habitantes del municipio","Todos los habitantes del municipio","Humana","8500","46232990","21685267","151796871","Dotación de una moto y una camioneta para la policía y una moto para el ejercito.","2020-09-01T00:00:00.000","2021-03-30T00:00:00.000","Seguridad ciudadana y convivencia","Movilidad para la seguridad","Número","3","0","3","0","0"
"2020071072","Ejecucion","OSCAR ANDRES SANCHEZ ALVAREZ","alcaldia@venecia-antioquia.gov.co","Venecia","05861","Suroeste","SR08","VOLEMOS ALTO","MEJORAMIENTO DE FACHADAS EN LA ZONA URBANA ""ANTIOQUIA SE PINTA DE VIDA""","UNIDOS POR LA VIDA 2020 - 2023","Infraestructura Social Para Volar Alto","Secretaria de Planeación y Obras Publicas","Fase I","Deterioro en las fachadas en las viviendas que conforman el ingreso de la zona urbana de Venecia.","402, familias que no cuentan con condiciones socioeconómicas que permitan un mantenimiento periódico de sus fachadas.","familias que no cuentan con condiciones socioeconómicas que permitan un mantenimiento periódico de sus fachadas.","Humana","402","30000000","10000000","0","No aplica","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","1","0","0","0"
"2020070923","Ejecucion","CARLOS ANDRES ROJAS TIRADO","alcaldia@chigorodo-antioquia.gov.co","Cisneros","05190","Nordeste","SR04","Cisneros para la gente 2020 - 2023","movilidad para Fuerza Pública para gestionar cofinanciación ante FONSECON","UNIDOS POR LA VIDA 2020 - 2023","6.1 Seguridad y orden público","Secretaria de Gobierno","Fase II","Dotación insuficiente de las fuerzas públicas para atender a la población","8755 habitantes  del municipio","Habitantes del municipio","Humana","8755","44982076","21098535","147689742","Dotar a la policía del municipio con dos motocicletas y una camioneta.","2020-09-01T00:00:00.000","2021-03-30T00:00:00.000","Seguridad ciudadana y convivencia","Movilidad para la seguridad","Número","3","0","3","0","0"
"2020070390","Ejecucion","MIGUEL ANGEL PELAEZ HENAO","alcaldia@yarumal.gov.coalcaldiayarumal@gmail.com","Yarumal","05887","Norte","SR05","Avancemos con Seguridad","Intervenir  con la Estrategia ""Antioquia se pinta de vida""  el sector Fátima de la zona urbana del municipio de Yarumal.","UNIDOS POR LA VIDA 2020 - 2023","Vivienda y hàbitat","Secretaria de Infraestructura Física.","Fase I","El Municipio de Yarumal – Antioquia, con el ánimo de garantizar los procesos de desarrollo locales sostenibles y en armonía con la naturaleza, mejorar integralmente las condiciones de habitalidad en el territorio municipal y así disminuir el alto déficit cualitativo de vivienda existente en nuestro municipio, el municipio de Yarumal quiere que sus comunidades se pinten de vida, con  el programa de mejoramiento de entornos que realiza la Gobernación de Antioquia a través de la Empresa de Vivienda e infraestructura de Antioquia, VIVA, en los municipios del departamento, con el programa","100 familias del sector Fàtima","100 familias con un promedio de 350 habitantes.","Humana","350","20000000","3000000","0","No aplica","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","1","0","0","0"
"2020070561","Gestion","JOSE HUMBERTO CARDONA GONZALEZ","alcaldia@olaya-antioquia.gov.co","Olaya","05501","Occidente","SR06","UNIDOS POR OLAYA","ACTUALIZACION Y AJUSTE DEL ESQUEMA DE ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE OLAYA","UNIDOS POR LA VIDA 2020 - 2023","Desarrollo institucional,convivencia social y participación ciudadana","planeacion","Fase I","Deficiencia en los instrumentos para la planificación del desarrollo territorial del municipio de","3341 PERSONAS","1712 Mujeres, 1639 hombres, 117 discapacitados, 503 victimas del conflicto, población en un 92% beneficiarios SISBEN con niveles 1 y 2 , derivan su sustento de actividades agrícolas y apoyo al sector turismo.","Humana","3341","112080078","40000000","0","El aporte de gobernación es en acompañamiento profesional, asesoría técnica y capacitaciones certificadas. Se conforma mesa técnica con el Municipio.","2020-10-06T00:00:00.000","2020-12-15T00:00:00.000","Planeación territorial en Antioquia","Acompañamiento técnico","Horas","400","400","0","0","0"
"2020071399","Ejecucion","IVAN ANTONIO OCHOA GOMEZ","alcaldia@yolombo-antioquia.gov.co","Yolombó","05890","Nordeste","SR04","YOLOMBO UNIDOS AL PROGRESO COMUNITARIO","Antioquia y Yolombo se pinta por la vida.","UNIDOS POR LA VIDA 2020 - 2023","LÍNEA 2.UNIDOS POR MEJORES CONDICIONES DE VIDA COMPONENTE 5. VIVIENDA DIGNA","Secretaria de planeacion y obras publicas","Fase III","Gran porcentaje de hogares de la zona urbana del municipio no cuenta con los recursos suficientes para realizar un mantenimiento periódico a las fachadas de sus hogares, lo que genera que esta se valla deteriorando con el paso del tiempo y surjan afectaciones como musgo, algas y hongos; lo anterior es un factor común de muchas de las fachadas de los hogares de la zona urbana del municipio y esto se debe que la gran mayoría son de estratos 1 y 2 y la principal actividad del municipio es la agricultura que genera una empleabilidad informal y los recursos obtenidos por esto son variables cada mes.","6500 personas en su mayoría de estratos 1 y 2.","1200 personas en su mayoría de estratos 1 y 2.","Humana","1200","20000000","3000000","0","Esta aprobado.

Se intervendrá entre 80 y 100 fachadas.","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","0","1","0","0"
"2020070223","Ejecucion","VICTOR DARIO PERLAZA HINESTROZA","alcaldia@zaragoza-antioquia.gov.co","Zaragoza","05895","Bajo Cauca","SR02","Unidos Construimos 2020-2023","Mejoramiento de Entorno 80 viviendas por municipio","UNIDOS POR LA VIDA 2020 - 2023","Línea 3: Zaragoza Territorio Sostenible.","Secretaria de Planeación","Fase I","El crecimiento población crece de manera acelerada por factores sociales notables. El hacinamiento en las unidades habitacionales, y la migración de las personas a la zona urbana son medidas que requieren soluciones de calidad para los habitantes del Municipio","Población con déficit de vivienda en el Municipio de Zaragoza zona urbana y rural. 80 Familias habitantes del Municipio de Zaragoza con déficit de vivienda.","Mejoramiento de viviendas en el municipio de Zaragoza.","Humana","80","20000000","3000000","0","Se ejecuta a través de Antioquia se pinta de vida, su ejecución depende del confinamiento, pues implica la reunión de personas","2021-01-01T00:00:00.000","2021-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","0","1","0","0"
"2020071346","Gestion","FROY FABER HERNANDEZ TUBERQUIA","alcaldia@peque-antioquia.gov.co","Peque","05543","Occidente","SR06","Peque Somos Todos 2020 - 2023","Actualización Catastral urbano y rural con enfoque Multipropósito","UNIDOS POR LA VIDA 2020 - 2023","Somos buen gobierno","Secretaria de planeación","Fase I","El Municipio de Peque-Antioquia realizó la última actualización catastral, en el año 2006, y según el Artículo 5 de la Ley 14 de 1983, el Artículo 24 de la Ley 1450 de 2011, las autoridades catastrales deben actualizar los catastros en períodos máximos de cinco (5) años, por lo que se concluye que la base gravable existente para el recaudo del impuesto predial del sector urbano y rural, está desactualizada, lo cual perjudica de manera progresiva las rentas del Municipio, ya que afecta directa y negativamente en la principal fuente de ingresos propios, sin considerar las implicaciones y consecuencias legales que tal incumplimiento conlleva.","4.997 propietarios y poseedores de predios urbanos y rurales","1641 personas entre 0 y 14 años de edad (Sisben Corte 2019), 1009 personas entre 15-19 años Sisben Corte 2019),  4160 personas entre 20-59 años (Sisben Corte 2019), y las 1166 personas mayores de 60 años (Sisben Corte 2019).","Humana","8134","112869683","100000000","0","El aporte de Gobernación es en capacitación , proceso de conservación, contratación profesional para procesos catastrales. Los 100 millones de aporte del municipio se ajustará a medida que se acuerden procesos con mesa técnica que se conformará con el DAP.","2020-09-03T00:00:00.000","2020-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral","Unidad","3","3","0","0","0"
"2020071724","Ejecucion","FABIAN MARCELO BETANCUR RIVERA","alcaldia@guarne-antioquia.gov.co","Guarne","05318","Oriente","SR07","DESARROLLO HUMANO PARA LA VIDA","Mejoramiento y embellecimiento comunitario de las fachadas de 80 viviendas del barrio San Vicente del municipio de Guarne","UNIDOS POR LA VIDA 2020 - 2023","EFICIENCIA ADMINISTRATIVA Y PARTICIPACIÓN CIUDADANA","SECRETARÍA DE DESARROLLO COMUNITARIO","Fase III","Se evidencian viviendas con frágiles condiciones físicas y estéticas de las fachadas del barrio San Vicente, causados por altos niveles de contaminación visual originados, en gran parte, por la falta de mantenimiento, embellecimiento y construcción de entornos de hábitat con calidad de vida. Sumado a ello, se observa la falta de un reconocimiento social, cultural y ambiental del territorio lo que ha dificultado la construcción de una identidad individual y colectiva, la apropiación del entorno colectivo o común en el municipio de Guarne y el arraigo de sus habitantes por su hábitat. Esto, se ha debido en gran medida, a la falta de acciones de sensibilización, integración y organización comunitaria en procesos de regeneración del territorio que conlleven a una apropiación socio-espacial y simbólica integral del hábitat. Problemática que se profundiza aún más por la importancia que representa el potencial y la protección del sector patrimonial que integra el barrio San Vicente, como lo es Santa Ana considerando a la Capilla de Santa Ana uno de los pocos bienes inmuebles para declararlos como patrimonio arquitectónico (monumento Nacional mediante la resolución 035 de 31-10-1995) y enmarcada por la plazoleta (elevada a Monumento Nacional mediante la Resolución 009 del 20-10-1987); por lo que, según se contempla en la Revisión y ajuste del Plan Básico de Ordenamiento Territorial (2015; pág. 53) que es vital implementarse una propuesta de recuperación y restauración física integral; que hasta el momento no se ha realizado.","19745 de la  zona urbana, aledaños a la capilla de Santa Ana. Si bien la remodelación del parque principal fue un paso muy importante en la apropiación de las comunidades por el espacio público; se observa la necesidad de acciones regeneraciones comunitarias integrales; tendientes a la recuperación y remodelación de fachadas de sus costados con el fin de implementar la defensa y el sostenibilidad del patrimonio histórico, cultural y arquitectónico.","Habitantes de la zona urbana del Municipio de Guarne aledaños a la Capilla Santa Ana que se verán beneficiados del proyecto","Humana","19745","20000000","30000000","0","No aplica","2020-09-01T00:00:00.000","2020-12-31T00:00:00.000","Hábitat para la equidad","Municipios intervenidos con la estrategia Antioquia se pinta de vida","Número","1","1","0","0","0"
"2020072139","Gestion","CARLOS ARTURO QUINTERO HURTADO","alcalde@pueblorrico-antioquia.gov.co","Pueblorrico","05576","Suroeste","SR08","Bien Por Pueblorrico","CATASTRO MULTIPROPOSITO","UNIDOS POR LA VIDA 2020 - 2023","Programa legalización de predios y viviendas","Secretaria de Planeacion e Infraestructura","Fase I","El sector de la construcción en el municipio de Pueblorrico viene con un buen dinamismo para la economía de la ciudad, en el caso particular
La administración municipal los apoye en la legalización de los predios privados y públicos ocupados irregularmente, para tener la seguridad jurídica en la tenencia de sus viviendas.
Empezada la construcción después de una inspección de obra por parte del municipio de Pueblorrico, así mismo, se estima que cerca del 30% de las construcciones se realizan sin el permiso de obra otorgado por la Oficina de Control Urbano, haciéndose necesario una implementación de nueva normatividad urbanística.","7900 personas","beneficiarios","Humana","7900","255981681","0","0","Apoyo con cartografía , capacitación , asesoría técnica y profesional, y apoyo en temas de conservación.","2020-09-03T00:00:00.000","2021-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral.","Unidad","2","1","1","0","0"
"2020072165","Gestion","CARLOS ARTURO QUINTERO HURTADO","alcalde@pueblorrico-antioquia.gov.co","Pueblorrico","05576","Suroeste","SR08","Bien Por Pueblorrico","PROGRAMA DE SANEAMIENTO FISCAL, FINANCIERO  Y FORTALECIMIENTO INSTITUCIONAL.","UNIDOS POR LA VIDA 2020 - 2023","Fortalecimiento","Secretaria de Hacienda Municipal","Fase I","El incumplimiento de los indicadores de ley 617 de 2000, por sobrepasar los límites de gastos  de funcionamiento que superan el 80% de lo establecido en la norma, que además se hace acompañar de la falta de planeación del gasto público y la falta  de estrategias que permitan el  fortalecimiento de las finanzas del Municipio de Pueblorrico Antioquia..","La acumulación de déficit fiscal, como resultado de una deficiente planeación del gasto público.
Una cartera de impuesto predial y de industria y comercio que superan los ter mil millones de pesos.
Un estatuto tributario desactualizado","comunidad en general","Humana","7900","6350000","0","0","No aplica","2020-10-15T00:00:00.000","2020-12-15T00:00:00.000","Gestión para resultados","Tres Cupos para Diplomado de Hacienda Pública y Gestión Territorial","Número","3","3","0","0","0"
"2020072188","Gestion","CARLOS ARTURO QUINTERO HURTADO","alcalde@pueblorrico-antioquia.gov.co","Pueblorrico","05576","Suroeste","SR08","Bien Por Pueblorrico","AJUSTE Y APROBACION DEL EOT","UNIDOS POR LA VIDA 2020 - 2023","Fortalecimiento del ordenamiento territorial","Secretaria de Planeacion e infraestructura","Fase I","El Municipio de Pueblorrico Antioquia se ha estancado en la consolidación adecuada de la gestión y planificación para el desarrollo territorial tanto urbano como rural debido a la desactualización del Esquema de Ordenamiento territorial","7.919 habitantes","Actualizar los instrumentos de planificación y asegurar el desarrollo armónico de la región en los
Términos de Ley.","Humana","7919","30416016","0","0","No aplica","2020-10-08T00:00:00.000","2020-12-15T00:00:00.000","Planeación territorial en Antioquia","Acompañamiento técnico","Horas","80","0","0","0","0"
"2020070716","Ejecucion","JOHN JAIRO URIBE CASTRILLON","alcaldia@remedios-antioquia.gov.co","Remedios","05604","Nordeste","SR04","Juntos Por Remedios 2020 - 2023","Implementación de la gestión de catastro con énfoque multipropósito","UNIDOS POR LA VIDA 2020 - 2023","VIVIENDA","Secretaria de Planeación y Desarrollo Territorial","Fase I","Falencias en la planeación y el desarrollo territorial en el municipio de Remedios.","32.793","correspondiente a la población urbana y rural del municipio quienes se beneficiaran de una mejor gestión en el catastro muncipal.","Humana","32793","458466086","0","0","Se acuerda que la actualización va a hacer más eficiente pero no solamente que sea más eficiente, sino que también sea amigable, de calidad y que sea muy ajustada y organizada, de la base gravable como tal.
Va a apoyar la disposición de técnicos del territorio que se van a desplazar. 
Entregar una plataforma amigable, dinámica, temas de conservación. 
Recurso por parte de la Gobernación apoyando en el proceso de actualización. 
Tiempo es de 3 meses con 3 técnicos. 
Profesionales, ingeniero y arquitecto que acompañan en zonas geotecnoeconómico.","2020-09-03T00:00:00.000","2020-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral.","Unidad","3","3","0","0","0"
"2020071924","Gestion","CARLOS ANDRES LONDOÑO VELEZ","alcaldia@salgar-antioquia.gov.co","Salgar","05642","Suroeste","SR08","“Salgar en Buenas Manos”","INCREMENTO DEL INDICE DE GESTION INTEGRAL DE LA ENTIDAD EN EL MARCO DE LA IMPLEMENTACION DEL PROGRAMA DE EFICIENCIA FISCAL EN EL MUNICIPIO DE SALGAR-ANTIOQUIA EN LA VIGENCIA 2020”","UNIDOS POR LA VIDA 2020 - 2023","Fortalecimiento institucional","Secretaría de Planeación y Obras Públicas","Fase I","DEFICIENTE GESTION DEL ORDENAMIENTO TERRITORIAL Y LA GESTION PREDIAL MUNICIPAL","La población afectada afectadada por el problema se orientan hacia los 18.261 habitantes con una densidad de 43,17 Hab / Km2 (2020) representados en 9.769 hombres 50.2% y 9.092 mujeres 498.8% para mejorar las condiciones de uso y ocupación del suelo en conflicto o que no presenta datos representados en un 43,75 %","El objetivo plantea intervenir 6.165 predios 2.364 urbanos y 3.801 rurales que presentan una desactualización de más de 10 años.","Humana","18261","118580446","0","0","Por parte del DAP participan la Dirección de Finanzas y la Dirección de Planeación Estratégica.","2020-10-15T00:00:00.000","2020-12-15T00:00:00.000","Gestión para resultados","Tres Cupos para Diplomado de Hacienda Pública y Gestión Territorial","Número","3","3","0","0","0"
"2020070144","Gestion","EDISON MAURICIO CORREA RESTREPO","alcaldia@sanjosedelamontana-antioquia.gov.co","San José de la Montaña","05658","Norte","SR05","VAMOS EN SERIO 2020 - 2023","CAPACITACIÓN, APOYO Y ACOMPAÑAMIENTO EN LOS PROCESOS DE ORDEN CATASTRAL, PLANIFICACIÓN, ESTRUCTURACIÓN, GESTIÓN DE ESQUEMAS, ORDENAMIENTO FISCAL Y FINANCIERA Y DESARROLLO TERRITORIAL","UNIDOS POR LA VIDA 2020 - 2023","1.5 PLANIFICACIÓN  DEL TERRITORIO","SECRETARÍA DE HACIENDA","Fase I","En el municipio hay problemas de legalidad, ajuste de áreas y demás relacionados con el área de catastro multiproposito","Población afecta 3765 
Población vulnerable 557 
Población Infantil 1076 
Población Joven 842 
Tercera Edad 741 
Personas con Discapacidades 76
Población Desplaza da 481
Extrema 25","Población Beneficiada 3765 
Población vulnerable 557 
Población Infantil 1076 
Población Joven 842 
Tercera Edad 741 
Personas con Discapacidades 76
Población Desplaza da 481
Extrema 25","Humana","3765","103429684","0","0","No aplica","2020-09-03T00:00:00.000","2020-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral","Unidad","3","3","0","0","0"
"2020071488","Viabilidad","MAURICIO  MARQUEZ VALENCIA","alcaldia@cisneros-antioquia.gov.co","Ciudad Bolívar","05101","Suroeste","SR08","UNIDOS POR EL DESARROLLO  2020 - 2023","Fortalecer el sistema de cámaras de seguridad del municipio de Ciudad Bolívar (TECNOLOGÍA 4.0)","UNIDOS POR LA VIDA 2020 - 2023","Componente 4.1. Seguridad pública, ciudadana y convivencia Inteligente","Secretaría General y de Gobierno","Fase II","Necesidad de elementos tecnológicos que contribuyan a mejorar las condiciones de seguridad de todos los habitantes del municipio de Ciudad Bolívar.

El municipio de Ciudad Bolívar ha sido escenario de distintos tipos de situaciones que han influido directamente en los indicadores objetivos y subjetivos de seguridad y convivencia ciudadana. Este delito tiene una tendencia fuerte durante el periodo de los cinco años anteriores, el índice más alto fue en el 2018, y descendió en el 2019. 

En este segmento encontramos que predomina el homicidio sobre masculinos con arma de fuego como principal método para realizar los homicidios. El área urbana es donde más se comete este delito prevaleciendo, durante los años donde se tomó la muestra, el sector de la Floresta Arriba, seguido del parque principal y la vereda Ventorrillo. Siendo la máxima expresión de las problemáticas de seguridad y convivencia de una sociedad, además de ser la consecuencia final que da cuenta de diferentes tipos de violencia. 

De acuerdo con lo anterior, se debe identificar otros aspectos que inciden en el desarrollo de otras problemáticas asociadas a la convivencia, el indicador del delito de lesiones personales muestra una tendencia alta y siendo similar las conductas en casco urbano como en el área rural del municipio. Entre ellos, se observa conflictos interpersonales o intrafamiliares a través del ejercicio de la violencia o amenaza del uso de la misma. A su vez, evidencia la falta de competencias ciudadanas para la autorregulación y mutua regulación, así como una alta desconfianza en las instituciones.

De acuerdo a lo registrado en la página de estadística de la Policía Nacional se registra una “media de 19 hurtos a personas, manteniéndose en un periodo desde el 2015 estable sin que se registre un plan de mitigación para bajar los indicadores de este delito que mayormente se observa en la zona urbana, le sigue el hurto al comercio que se observa una media de 14.2 pero se observa dos picos significativos en los años del 2017 y 2018 donde se presentaron 21 y 22 casos y descendiendo en el año 2019.” 

Estos hechos se observan en el casco urbano, con mayor incidencia en la zona comercial del parque principal, requiriendo planes de mitigación, reforzando en personal de fuerza pública y privada, mejoramiento de las herramientas tecnológicas y de vigilancia y así lograr una capacidad de respuesta más corta y efectiva. 

En lo que se refiere a hurtos a residencias se observa una media de 11.6 con incremento gradual desde año 2015 hasta el 2019, presentándose los hechos delictivos en la zona rural del municipio, se continúa con el hurto de automotores donde se tiene un incremento desde al año 2015 hasta el 2019 con una media de 2.2 pero con el pico más alto de incidencia del hecho delictivo del año 2019 con 6 casos presentados en el municipio principalmente en la zona urbana. Se debe reforzar las redes de seguridad ciudadana con el fin de que alerten a las autoridades de una manera inmediata de los hechos creando y reforzando canales de comunicación eficaces e inmediatos de la comunidad- autoridades.

En este sentido, es necesario que el Municipio fortalezca la seguridad y convivencia pacífica de sus habitantes focalizándose en las medidas preventivas que busquen disminuir los indicies de delincuencia en el mismo. Además, tomar las acciones básicas y primordiales para que en conjunto con las autoridades civiles, y políticas, se puedan obtener resultados satisfactorios en índice de seguridad y en pro de calidad de vida de los habitantes de Ciudad Bolívar","26.313. Población total del municipio de Ciudad Bolívar","Población total del municipio de Ciudad Bolívar","Humana","26313","0","0","0","La Secretaría de Gobierno se compromete con el acompañamiento técnico para la estructuración y formulación del proyecto a fin de presentarlo para las jornadas de acuerdos 2021.","2020-08-15T00:00:00.000","2021-04-30T00:00:00.000","Seguridad ciudadana y convivencia","Acompañamiento técnico para un centro de monitoreo municipal.","Porcentaje","100","40","60","0","0"
"2020070249","Gestion","LIBARDO DE JESUS CIRO MORALES","alcaldia@sanrafael-antioquia.gov.co","San Rafael","05667","Oriente","SR07","Nuestro Compromiso Es San Rafael 2020-2023","Realización e implementación del catastro multipropósito, para la base catastral Urbana del municipio de San Rafael Antioquia","UNIDOS POR LA VIDA 2020 - 2023","4.1 Desarrollo económico","Dirección Financiera","Fase I","Actualmente el municipio de San Rafael no cuenta con actualización catastral  Urbana vigente, razón por la cual, el municipio no tiene actualizada, la base de contribuyentes de los impuestos prediales y complementarios, y por ende las bases gravables, presentan diferencias, a la realidad, de los predios en jurisdicción del municipio, por lo mismo se genera menor número de contribuyentes de los impuestos, tasas y contribuciones asociados a la tenencia de bienes inmuebles, generando menor valor por ingresos directos, además de menor valor de transferencia por parte del estado, en cuanto a las transferencias, supeditada al número de contribuyentes; de tal manera que además de generarse menos ingresos, se produce igualmente una inequidad en la contribución de los impuestos.

La actualización catastral urbana, no se ha realizado en periodos constitucionales anteriores, por la falta de recursos económicos, que la misma implica, teniendo en cuenta la planta de cargos reducida del área de catastro municipal, que se compone de una funcionaria, por lo cual se dificulta realizar el mismo con personal de planta.","Del proyecto se benefician directamente 20.416 personas, 9.712 en el casco urbano del municipio y 10704 personas que residen en la zona rural del municipio, principalmente familias campesinas que no cuentan con abundantes recursos para el desarrollo de servicios públicos.","Del proyecto se benefician directamente 20.416 personas, 9.712 en el casco urbano del municipio y 10704 personas que residen en la zona rural del municipio, principalmente familias campesinas que no cuentan con abundantes recursos para el desarrollo de servicios públicos.","Humana","20416","754828659","0","0","No aplica","2020-09-03T00:00:00.000","2021-12-15T00:00:00.000","Implementación del catastro con enfoque multipropósito","Fortalecimiento gestión catastral","Unidad","2","1","1","0","0"
